crs_dep_time,mean_hist_dep_delay
0,7.293556085918855
1,5.870967741935484
2,26.692307692307693
3,10.78048780487805
4,13.666666666666666
5,-1.4304157549234136
6,-0.743774527292187
7,0.8455921102160656
8,2.072657293221271
9,3.246698362387744
10,4.143816640080598
11,4.860123005319149
12,5.309484603984851
13,6.750270758122744
14,7.857507481077275
15,8.389934953782952
16,9.247317795042544
17,10.087242994363738
18,10.983196347031964
19,11.023786024476905
20,11.688123103597746
21,10.701000690131124
22,9.016426282051283
23,6.340044742729306
